,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",77,20.8,9.28,0,0
1,Águas Claras,"-15,835755","-48,023704",49,13.2,28.72,0,0
2,Recanto das Emas,"-15,91697","-48,101851",1,0.3,0.76,0,0
3,Samambaia,"-15,874647","-48,101735",7,1.9,2.86,0,0
4,Taguatinga,"-15,829303","-48,055925",7,1.9,3.36,0,0
5,Vicente Pires,"-15,80135","-48,029207",13,3.5,17.70,0,0
6,CENTRAL,"-15,787416","-47,904364",224,60.4,57.04,0,0
7,Plano Piloto,"-15,79558","-47,880991",116,31.3,50.37,0,0
8,Sudoeste/Octogonal,"-15,791981","-47,929973",31,8.4,56.10,0,0
9,Cruzeiro,"-15,783461","-47,935849",7,1.9,22.69,0,0
10,Lago Norte,"-15,716136","-47,872314",13,3.5,35.01,0,0
11,Lago Sul,"-15,866769","-47,863069",57,15.4,187.99,0,0
12,Varjão do Torto,"-15,709046","-47,878307",0,0.0,0.00,0,0
13,CENTRO SUL,"-15,832904","-47,964603",34,9.2,8.93,0,0
14,Candangolândia,"-15,850394","-47,948315",0,0.0,0.00,0,0
15,Parkway,"-15,912218","-47,958777",7,1.9,30.36,0,0
16,Guará,"-15,819059","-47,97966",23,6.2,16.36,0,0
17,Núcleo Bandeirante,"-15,872164","-47,968502",3,0.8,12.49,0,0
18,Riacho Fundo I,"-15,882885","-48,016893",1,0.3,2.28,0,0
19,Riacho Fundo II,"-15,924313","-48,037374",0,0.0,0.00,0,0
20,SCIA (Estrutural),"-15,783705","-47,987222",0,0.0,0.00,0,0
21,NORTE,"-15,661909","-47,813598",8,2.2,2.25,0,0
22,Fercal,"-15,598803","-47,86915",0,0.0,0.00,0,0
23,Planaltina,"-15,713838","-47,520359",0,0.0,0.00,0,0
24,Sobradinho I,"-15,653501","-47,802874",7,1.9,9.84,0,0
25,Sobradinho II,"-15,621837","-47,803434",1,0.3,1.28,0,0
26,SUL,"-16,025131","-48,051063",9,2.4,3.30,0,0
27,Gama,"-15,99793","-48,145463",6,1.6,4.18,0,0
28,Santa Maria,"-16,024697","-47,990179",3,0.8,2.32,0,0
29,LESTE,"-15,835614","-47,715819",15,4.0,4.78,0,0
30,Jardim Botânico,"-15,855691","-47,809974",9,2.4,15.48,0,0
31,Itapoã,"-15,744747","-47,764271",0,0.0,0.00,0,0
32,Paranoá,"-15,931541","-47,525609",2,0.5,2.68,0,0
33,São Sebastião,"-15,934012","-47,756858",4,1.1,3.45,0,0
34,OESTE,"-15,76191","-48,139419",4,1.1,0.79,0,0
35,Brazlândia,"-15,631225","-48,131325",0,0.0,0.00,0,0
36,Ceilândia,"-15,817297","-48,170523",4,1.1,0.90,0,0
